Taxa,ID,Meds,Magnitude,Cohort,Group,P value,Influence
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__mucilaginosa,R. mucilaginosa,Busulfan,0.327778636,HSCT,Single drug analysis,4.91E-19,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.__,g__Staphylococcus,Busulfan,-3.330932843,HSCT,Single drug analysis,0.025955712,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__infantis,S. infantis,Busulfan,0.320800232,HSCT,Single drug analysis,0.044055203,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter.s__,g__Turicibacter,Busulfan,0.2321848,HSCT,Single drug analysis,4.03E-05,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__parvula,V. parvula,Busulfan,2.400543179,HSCT,Single drug analysis,0.0004954,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__,g__Bacteroides2,Cyclophosphamide,8.098662991,HSCT,Single drug analysis,0.002739341,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__caccae,B. caccae,Cyclophosphamide,0.614902136,HSCT,Single drug analysis,0.033295296,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__fragilis,B. fragilis,Cyclophosphamide,1.526598189,HSCT,Single drug analysis,5.27E-05,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__ovatus,B. ovatus,Cyclophosphamide,2.639927543,HSCT,Single drug analysis,0.001413433,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__uniformis,B. uniformis,Cyclophosphamide,2.191141411,HSCT,Single drug analysis,0.000623196,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__distasonis,P. distasonis,Cyclophosphamide,0.518604125,HSCT,Single drug analysis,0.00053937,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__.s__,f__Rikenellaceae,Cyclophosphamide,0.288596217,HSCT,Single drug analysis,1.78E-05,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__putredinis,A. putredinis,Cyclophosphamide,0.347903978,HSCT,Single drug analysis,0.007346703,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.__,g__Staphylococcus,Cyclophosphamide,-3.638600986,HSCT,Single drug analysis,0.001861709,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.__.__.__,o__Lactobacillales,Cyclophosphamide,19.97227523,HSCT,Single drug analysis,0.007132718,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__casseliflavus,E. casseliflavus,Cyclophosphamide,-18.80378005,HSCT,Single drug analysis,0.009869412,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__infantis,S. infantis,Cyclophosphamide,0.392864378,HSCT,Single drug analysis,0.00157775,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__.s__,f__Mogibacteriaceae,Cyclophosphamide,0.101403532,HSCT,Single drug analysis,0.028016357,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__,g__Ruminococcus2,Cyclophosphamide,0.479940696,HSCT,Single drug analysis,3.34E-05,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__lavalense,C. lavalense,Cyclophosphamide,0.029818368,HSCT,Single drug analysis,0.006542618,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__.__,f__Ruminococcaceae2,Cyclophosphamide,4.341985115,HSCT,Single drug analysis,0.008917041,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus.s__,g__Anaerotruncus,Cyclophosphamide,0.054008478,HSCT,Single drug analysis,0.008606779,Promotion
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Coprobacillus.s__,g__Coprobacillus,Cyclophosphamide,-19.88123685,HSCT,Single drug analysis,3.78E-10,Inhibition
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella.s__,g__Sutterella,Cyclophosphamide,2.492226818,HSCT,Single drug analysis,2.18E-06,Promotion
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__mucilaginosa,R. mucilaginosa,Fludarabine,0.052214089,HSCT,Single drug analysis,0.017482184,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__,g__Bacteroides2,Fludarabine,-6.423480451,HSCT,Single drug analysis,0.000717075,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__fragilis,B. fragilis,Fludarabine,-0.934470331,HSCT,Single drug analysis,7.92E-06,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__ovatus,B. ovatus,Fludarabine,-1.815283667,HSCT,Single drug analysis,8.30E-05,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__uniformis,B. uniformis,Fludarabine,-1.328032181,HSCT,Single drug analysis,0.004779524,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__distasonis,P. distasonis,Fludarabine,-0.366286731,HSCT,Single drug analysis,0.000917983,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__.s__,f__Rikenellaceae,Fludarabine,-0.18657706,HSCT,Single drug analysis,0.000145106,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__finegoldii,A. finegoldii,Fludarabine,-3.495882551,HSCT,Single drug analysis,0.034264219,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__putredinis,A. putredinis,Fludarabine,-0.201830041,HSCT,Single drug analysis,0.009865212,Inhibition
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__.s__,o__Streptophyta,Fludarabine,-2.16753621,HSCT,Single drug analysis,0.035652806,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__,g__Enterococcus2,Fludarabine,-8.701838656,HSCT,Single drug analysis,0.034758027,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__casseliflavus,E. casseliflavus,Fludarabine,25.48434894,HSCT,Single drug analysis,1.03E-06,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__delbrueckii,L. delbrueckii,Fludarabine,-0.128121782,HSCT,Single drug analysis,0.038252021,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Anaerofustis.s__,g__Anaerofustis,Fludarabine,0.133771406,HSCT,Single drug analysis,0.008299502,Promotion
