ID,g,f,o,c,p
A. muciniphila,g__Akkermansia,f__Verrucomicrobiaceae,o__Verrucomicrobiales,c__Verrucomicrobiae,p__Verrucomicrobia
H. parainfluenzae,g__Haemophilus,f__Pasteurellaceae,o__Pasteurellales,c__Gammaproteobacteria,p__Proteobacteria
g__Shigella,g__Shigella,f__Enterobacteriaceae,o__Enterobacteriales,c__Gammaproteobacteria,p__Proteobacteria
f__Enterobacteriaceae,g__1,f__Enterobacteriaceae,o__Enterobacteriales,c__Gammaproteobacteria,p__Proteobacteria
g__Campylobacter,g__Campylobacter,f__Campylobacteraceae,o__Campylobacterales,c__Epsilonproteobacteria,p__Proteobacteria
g__Bilophila,g__Bilophila,f__Desulfovibrionaceae,o__Desulfovibrionales,c__Deltaproteobacteria,p__Proteobacteria
g__Sutterella,g__Sutterella,f__Alcaligenaceae,o__Burkholderiales,c__Betaproteobacteria,p__Proteobacteria
g__Fusobacterium,g__Fusobacterium,f__Fusobacteriaceae,o__Fusobacteriales,c__Fusobacteriia,p__Fusobacteria
g__Holdemania,g__Holdemania,f__Erysipelotrichaceae,o__Erysipelotrichales,c__Erysipelotrichi,p__Firmicutes
E. dolichum,g__Eubacterium,f__Erysipelotrichaceae,o__Erysipelotrichales,c__Erysipelotrichi,p__Firmicutes
g__Coprobacillus,g__Coprobacillus,f__Erysipelotrichaceae,o__Erysipelotrichales,c__Erysipelotrichi,p__Firmicutes
C. spiroforme,g__Clostridium1,f__Erysipelotrichaceae,o__Erysipelotrichales,c__Erysipelotrichi,p__Firmicutes
f__Erysipelotrichaceae,g__2,f__Erysipelotrichaceae,o__Erysipelotrichales,c__Erysipelotrichi,p__Firmicutes
V. parvula,g__Veillonella,f__Veillonellaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
V. dispar,g__Veillonella,f__Veillonellaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
g__Phascolarctobacterium,g__Phascolarctobacterium,f__Veillonellaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
g__Megasphaera,g__Megasphaera,f__Veillonellaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
g__Dialister,g__Dialister,f__Veillonellaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
g__Acidaminococcus,g__Acidaminococcus,f__Veillonellaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
g__Finegoldia,g__Finegoldia,f__Tissierellaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
g__Anaerococcus,g__Anaerococcus,f__Tissierellaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
S. variabile,g__Subdoligranulum,f__Ruminococcaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
g__Ruminococcus1,g__Ruminococcus1,f__Ruminococcaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
R. bromii,g__Ruminococcus1,f__Ruminococcaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
g__Oscillospira,g__Oscillospira,f__Ruminococcaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
G. formicilis,g__Gemmiger,f__Ruminococcaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
g__Faecalibacterium,g__Faecalibacterium,f__Ruminococcaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
F. prausnitzii,g__Faecalibacterium,f__Ruminococcaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
C. methylpentosum,g__Clostridium2,f__Ruminococcaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
B. pullicaecorum,g__Butyricicoccus,f__Ruminococcaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
g__Anaerotruncus,g__Anaerotruncus,f__Ruminococcaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
f__Ruminococcaceae1,g__3,f__Ruminococcaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
f__Ruminococcaceae2,g__4,f__Ruminococcaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
C. bartlettii,g__Clostridium3,f__Peptostreptococcaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
f__Peptostreptococcaceae1,g__5,f__Peptostreptococcaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
f__Peptostreptococcaceae2,g__6,f__Peptostreptococcaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
f__Mogibacteriaceae,g__7,f__Mogibacteriaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
g__Ruminococcus2,g__Ruminococcus2,f__Lachnospiraceae,o__Clostridiales,c__Clostridia,p__Firmicutes
R. gnavus,g__Ruminococcus2,f__Lachnospiraceae,o__Clostridiales,c__Clostridia,p__Firmicutes
R. torques,g__Ruminococcus2,f__Lachnospiraceae,o__Clostridiales,c__Clostridia,p__Firmicutes
g__Roseburia1,g__Roseburia,f__Lachnospiraceae,o__Clostridiales,c__Clostridia,p__Firmicutes
g__Roseburia2,g__Roseburia,f__Lachnospiraceae,o__Clostridiales,c__Clostridia,p__Firmicutes
R. faecis,g__Roseburia,f__Lachnospiraceae,o__Clostridiales,c__Clostridia,p__Firmicutes
g__Lachnospira,g__Lachnospira,f__Lachnospiraceae,o__Clostridiales,c__Clostridia,p__Firmicutes
g__Dorea,g__Dorea,f__Lachnospiraceae,o__Clostridiales,c__Clostridia,p__Firmicutes
D. longicatena,g__Dorea,f__Lachnospiraceae,o__Clostridiales,c__Clostridia,p__Firmicutes
