"","taxa","ATG","Busulfan","Cyclophosphamide","Fludarabine","Melphalan","VP16","Total.Body.Irradiation","Thiotepa","Methotrexate","Antibiotic","Trimethoprim.sulfamethoxazole","Phenoxymethylpenicillin","Amoxicillin","Cefuroxime","Ceftazidime","Ciprofloxacin","Metronidazole","Meropenem","Vancomycin","Linezolid"
"1","k__Bacteria.__.__.__.__.__.__",NA,NA,NA,-3.31880265967456,NA,3.14024952780208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__",NA,NA,NA,NA,NA,NA,NA,-0.426737351946956,NA,NA,NA,0.468862794650614,NA,0.800944058925429,NA,NA,NA,NA,NA,NA
"3","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae.g__Corynebacterium.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0878989960450167,NA,NA,NA,NA,NA,NA
"4","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__dentocariosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.338022469444409,0.0676212211880598,NA,NA,NA,NA,NA,NA
"5","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__mucilaginosa",NA,NA,NA,NA,NA,NA,NA,-0.0513994431249358,NA,NA,NA,NA,-0.0431304827210283,0.0993811605957482,NA,NA,NA,NA,NA,NA
"6","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__",NA,0.874539883306176,NA,NA,NA,NA,NA,NA,NA,NA,0.347458344721473,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__",-2.02159084593893,NA,0.433737871985301,NA,NA,NA,NA,-1.05045393356195,NA,NA,NA,NA,-0.668383646507232,NA,NA,NA,NA,NA,NA,NA
"8","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__longum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07802344260295
"9","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Scardovia.s__",NA,NA,NA,-0.00418495090066504,NA,-0.00805232387614553,NA,NA,NA,NA,NA,0.00756867166071253,2.67535779384914,NA,NA,-0.00237691677065643,NA,-0.00203180073507527,NA,NA
"10","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.190030062313483,NA,NA,NA,-0.0248310571548,NA
"11","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Atopobium.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.149391185092283,NA,NA,NA,NA,NA,NA,NA
"12","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__aerofaciens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122883806959729,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Barnesiellaceae..g__.s__",2.85075442124417,NA,-0.195961925519327,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.320697957474474,NA,NA,NA,NA,NA,NA,0.551313095680324
"14","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__",0.289411616704312,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0645623942564223,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.67610966359987,NA,7.1925257323718,NA,NA,NA,NA,NA,NA
"16","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__caccae",NA,1.61192984247576,NA,NA,NA,NA,NA,NA,NA,NA,1.00395497797834,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__fragilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.6316044569373,NA,NA,NA,NA,NA,NA,NA
"18","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__ovatus",NA,NA,NA,NA,NA,NA,NA,-4.71040451776127,NA,NA,NA,NA,NA,16.6077312160508,NA,NA,NA,NA,NA,NA
"19","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__uniformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53782186903806,1.6396308622082,2.32837407008699,NA,NA,NA,NA,NA,NA,NA
"20","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__",NA,3.90910785947054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.82521540420844,10.704307854909,NA,NA,9.43380971590765
"21","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__onderdonkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.980793183068412,NA,NA,NA,NA,NA,NA,NA,NA
"22","k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__.s__",NA,NA,NA,NA,NA,NA,NA,-1.16645564046379,NA,NA,-0.776482509138312,NA,NA,2.91855674002769,NA,NA,NA,NA,NA,NA
"23","k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1688387114208,NA,NA,NA,NA,NA,NA
"24","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.__.__.__",NA,17.1024546638464,13.3334642786885,NA,32.806788092531,-52.0416032470066,NA,NA,-55.8305674264702,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.2607768478563,NA
"25","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae.g__Granulicatella.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.013924017244627,NA,NA,-0.0377004387035169,-0.044515659336842,NA,NA,NA,-0.0137313607788595,NA,NA
"26","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.__.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.683510679819,NA,NA,NA
"27","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.__",NA,NA,NA,-12.1670456569191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.81891654560658,NA,NA,NA,NA,2.16006634355873,5.39746366528914,NA,2.46387122536562,6.5472867719165
"29","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.__.__",NA,-6.21466869728623,-6.6001191904942,-11.5053614166572,NA,20.8274511520771,11.5922401419412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.76894627167642,NA
"30","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.795184281935763,NA,NA,NA,NA,NA,NA
"31","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__delbrueckii",NA,NA,0.417852430067623,0.499742501896995,NA,-0.671751581890905,-0.71338646799867,NA,1.19288443937258,0.202463705176045,NA,NA,NA,NA,NA,NA,NA,NA,0.209442448643111,NA
"32","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__salivarius",NA,NA,-1.62984021595159,NA,NA,NA,NA,NA,NA,NA,2.7561500492936,NA,NA,NA,NA,NA,NA,NA,-0.981972089777328,NA
"33","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__zeae",NA,NA,-10.5012626061884,NA,-19.2168903043045,NA,NA,14.7574222956543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Pediococcus.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99841474843443,NA,NA,NA,NA,NA
"35","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus.s__",NA,NA,NA,NA,NA,0.772462803417511,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.268660448712875,NA,NA,NA,NA
"36","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.__",NA,NA,NA,NA,NA,5.13072618306251,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54369508869948,NA,NA,NA,NA
"37","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__",NA,NA,NA,23.5427434819385,NA,NA,-29.995753013801,NA,70.9828882510721,NA,NA,NA,NA,NA,-19.091171124983,NA,NA,NA,NA,20.2241034666751
"38","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__infantis",NA,-0.659909544841745,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.225854878450141,1.28883648815547,NA,NA,NA,NA,NA,NA,NA
"39","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.277838319582167,NA,0.803794086046971,-0.735042280317862,NA,-0.629126963694313,-0.488188881304111,NA,-0.267218327048459,-0.572685356604715,NA
"40","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__.s__",NA,NA,-2.6845268404989,NA,-3.91319683260659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.648831608418035,NA
"41","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__.s__",NA,NA,NA,NA,NA,NA,NA,-0.147248346716893,NA,NA,NA,NA,NA,0.418363835057282,NA,NA,NA,NA,NA,NA
"42","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__Anaerococcus.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00773008664864507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__Finegoldia.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0343762353532167,NA,NA,NA,NA,NA,NA,NA,NA
"44","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,-0.060730494691453,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0261771348414524,NA,NA
"45","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.806886756043586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__",NA,NA,NA,-2.70719402816705,NA,NA,3.88184739471928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__celatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.604362826419488,NA,1.9041503859891,NA,NA,NA,NA,NA
"48","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__paraputrificum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2788197553555,NA,NA,NA,-0.121242427456909,NA,NA,NA,NA
"49","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53.s__",NA,NA,NA,NA,NA,NA,NA,NA,0.409442620258637,NA,NA,0.26376894637902,-0.182939163818896,NA,-0.201865150029058,-0.088503400582094,NA,NA,-0.0907869394800522,NA
"50","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.610488640639618,NA
"51","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.537250532485711,NA,NA,NA,0.610579482216031,NA,NA,NA
"52","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__torques",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.263676285950665,0.230432601476655,NA,NA,NA,NA,NA,NA,0.248556624622572
"53","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.21802175664018,NA
"54","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__",NA,NA,NA,NA,NA,-7.11446286671804,NA,NA,NA,NA,NA,NA,5.17786922414962,NA,NA,NA,NA,NA,NA,NA
