"","taxa","ATG","Busulfan","Cyclophosphamide","Fludarabine","Melphalan","VP16","Total.Body.Irradiation","Thiotepa","Methotrexate","Antibiotic","Trimethoprim.sulfamethoxazole","Phenoxymethylpenicillin","Amoxicillin","Cefuroxime","Ceftazidime","Ciprofloxacin","Metronidazole","Meropenem","Vancomycin","Linezolid"
"1","k__Bacteria.__.__.__.__.__.__",NA,NA,NA,1.30343231936494,NA,1.39920536961933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__",NA,NA,NA,NA,NA,NA,NA,0.102996776243707,NA,NA,NA,0.153850602509185,NA,0.192126827739092,NA,NA,NA,NA,NA,NA
"3","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae.g__Corynebacterium.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0339752095092971,NA,NA,NA,NA,NA,NA
"4","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__dentocariosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0600224352412208,0.0123595654952425,NA,NA,NA,NA,NA,NA
"5","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__mucilaginosa",NA,NA,NA,NA,NA,NA,NA,0.0144912090184186,NA,NA,NA,NA,0.0207396999231419,0.0271573895256023,NA,NA,NA,NA,NA,NA
"6","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__",NA,0.438037988089003,NA,NA,NA,NA,NA,NA,NA,NA,0.168884483280679,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__",0.889989363907018,NA,0.199633563323871,NA,NA,NA,NA,0.2283555574192,NA,NA,NA,NA,0.328899625972645,NA,NA,NA,NA,NA,NA,NA
"8","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__longum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.414272142600597
"9","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Scardovia.s__",NA,NA,NA,0.00149554290142433,NA,0.00267011875350383,NA,NA,NA,NA,NA,0.00185462345580069,0.464047929887187,NA,NA,0.000955888674361657,NA,0.000775179859607523,NA,NA
"10","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0312341283862013,NA,NA,NA,0.0109006299674534,NA
"11","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Atopobium.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0500272757760194,NA,NA,NA,NA,NA,NA,NA
"12","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__aerofaciens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0490401880863638,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Barnesiellaceae..g__.s__",0.320824194451975,NA,0.087202361940883,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.148462941456627,NA,NA,NA,NA,NA,NA,0.175025038977941
"14","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__",0.140917108244842,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0310979237285773,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.62195770237149,NA,2.08136793910302,NA,NA,NA,NA,NA,NA
