"","taxa","Busulfan","Cyclophosphamide","Fludarabine","Melphalan","VP16","Total.Body.Irradiation","Thiotepa","Methotrexate","Antibiotic","Trimethoprim.sulfamethoxazole","Phenoxymethylpenicillin","Amoxicillin","Ceftazidime","Ceftriaxon","Ciprofloxacin","Meropenem","Piperacillin.tazobactam","Vancomycin","Tobramycin"
"1","k__Bacteria.__.__.__.__.__.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.521525221833997,NA,NA,NA,NA,NA,NA,NA
"2","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0356749936196192,NA,NA,NA,0.415591108356373,0.041619131140348,NA
"3","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__mucilaginosa",0.32777863576119,NA,0.0522140886403588,NA,-0.492952342968163,-0.234426220585904,0.0798149389488278,NA,NA,NA,0.203381016007839,-0.0841636412282194,NA,0.943957619202777,NA,NA,NA,NA,NA
"4","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__",NA,NA,NA,NA,NA,NA,4.22499266442254,NA,-3.36101361407939,NA,NA,NA,NA,NA,NA,-3.37365570800851,NA,NA,NA
"5","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Scardovia.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0846112942266576,NA,NA,NA,NA,NA,NA,NA
"6","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Atopobium.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0145066341526967,NA,NA,NA,NA,NA,NA
"7","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Eggerthella.s__lenta",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.296755265765115,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Barnesiellaceae..g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,-0.179632234575113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__",NA,NA,NA,NA,NA,NA,-0.0319845631800633,NA,NA,NA,NA,0.691187408982611,NA,NA,NA,NA,NA,NA,NA
"10","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__",NA,8.09866299097494,-6.42348045083221,NA,NA,NA,-4.80226541969926,10.9821515718432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
