"","taxa","Busulfan","Cyclophosphamide","Fludarabine","Melphalan","VP16","Total.Body.Irradiation","Thiotepa","Methotrexate","Antibiotic","Trimethoprim.sulfamethoxazole","Phenoxymethylpenicillin","Amoxicillin","Ceftazidime","Ceftriaxon","Ciprofloxacin","Meropenem","Piperacillin.tazobactam","Vancomycin","Tobramycin"
"1","k__Bacteria.__.__.__.__.__.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.240386367934373,NA,NA,NA,NA,NA,NA,NA
"2","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0170427857805128,NA,NA,NA,0.0608971677285634,0.0156416983097794,NA
"3","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__mucilaginosa",0.0322769334754024,NA,0.0217348902884844,NA,0.0417550879966583,0.0319588788941664,0.0231275340309686,NA,NA,NA,0.0410008056604464,0.0408841066002799,NA,0.0429404435765962,NA,NA,NA,NA,NA
"4","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__",NA,NA,NA,NA,NA,NA,2.09288602866688,NA,1.47076841342504,NA,NA,NA,NA,NA,NA,1.61008570594026,NA,NA,NA
"5","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Scardovia.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0297514642941833,NA,NA,NA,NA,NA,NA,NA
"6","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Atopobium.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00723264771429538,NA,NA,NA,NA,NA,NA
"7","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Eggerthella.s__lenta",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.149154774487428,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Barnesiellaceae..g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,0.0819142073715075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__",NA,NA,NA,NA,NA,NA,0.0139014770874177,NA,NA,NA,NA,0.159149335425386,NA,NA,NA,NA,NA,NA,NA
"10","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__",NA,2.66173297477728,1.86048930626432,NA,NA,NA,1.97912081686771,5.31948846183803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__caccae",NA,0.286409061898694,NA,0.807778511070073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.204707226939979,NA,NA,0.0865473936229727,NA
"12","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__fragilis",NA,0.367438730089118,0.202097037591237,1.05546780878563,NA,0.43359752556224,0.271473291904405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68999899222882,NA
"13","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__ovatus",NA,0.812726563936862,0.448935680453969,2.35047297665244,NA,0.776288198458247,0.59708949634749,NA,NA,NA,NA,1.07849172282667,NA,NA,NA,NA,NA,NA,NA
"14","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__uniformis",NA,0.627828562227466,0.463838528746068,1.79197206240367,NA,NA,0.468526241654157,NA,NA,NA,NA,NA,0.870782332854195,NA,0.440354415808385,NA,NA,0.792464683437543,NA
"15","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71205089411104,0.441820726807618,0.386035109246534,NA,0.393689008791339,NA,NA,NA,NA
"16","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__distasonis",NA,0.146855029869577,0.108363238295992,NA,NA,0.172164956573321,0.105503276784747,NA,NA,NA,NA,0.384828393564759,0.338241664489095,NA,NA,0.0824892782517191,NA,0.312512467604488,NA
"17","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__.s__",NA,0.065233200899455,0.0478812757176094,NA,NA,0.0576242570044718,0.0492007413661335,NA,NA,NA,NA,0.0311883108081185,NA,NA,NA,NA,NA,NA,NA
"18","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__finegoldii",NA,NA,1.63668739819508,NA,4.28094062386757,NA,NA,4.51968813093418,1.17712730119182,NA,NA,NA,NA,NA,NA,NA,NA,0.667274780782984,7.95724353047243
"19","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__indistinctus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00236358767565374,NA,NA,NA,NA,NA,NA
"20","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__onderdonkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15587451078456,NA,NA,NA,NA,NA,NA,NA,NA,7.61863400827357
"21","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__putredinis",NA,0.128132429417396,0.0772412616058159,NA,NA,0.142712643080806,0.0934360689154582,NA,0.0763691628386406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__.s__",NA,NA,1.02267012895391,3.96463450426134,NA,NA,1.03123908593884,NA,0.695531047350777,0.761894943114202,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.__",1.48195310612704,1.15005562402143,NA,3.22771177071133,NA,NA,NA,NA,NA,NA,NA,NA,1.01752309217482,NA,NA,NA,NA,NA,NA
"24","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.__.__.__",NA,7.32814043266513,NA,NA,NA,NA,5.4157546590418,NA,NA,NA,NA,NA,2.64499242909929,NA,NA,3.80819805243058,NA,2.44893500156438,NA
"25","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83649090874297,NA,NA,NA,NA,NA,NA,NA
"26","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__",NA,NA,4.08531138137498,NA,NA,NA,NA,NA,NA,3.02211240100721,6.94016436593114,NA,1.76524793789407,NA,NA,NA,NA,NA,NA
"27","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__casseliflavus",NA,7.20064272595,5.00759237169148,20.5568301797774,NA,8.14729384151647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40228086504638,NA
"29","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.928466361255072,NA,NA,0.0321981672488085,NA,NA,NA
"30","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__delbrueckii",NA,NA,0.0612993072712848,NA,NA,NA,0.0615201695733881,NA,0.0449090663550951,0.0459883208180182,NA,NA,NA,0.00577270768874434,NA,NA,NA,0.026574613356894,NA
"31","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__zeae",NA,NA,NA,11.3275730324849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20248188804878,NA
"32","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus.s__",NA,NA,NA,NA,NA,NA,3.01599275808831,NA,NA,NA,NA,NA,NA,NA,NA,2.36260402939233,NA,NA,NA
"33","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12908992787412,NA,NA,NA,2.83932690840534,NA,NA,NA,NA,NA
"34","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__infantis",0.158069317346102,0.122207085163149,NA,0.342164805510047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0867384010268382,NA,NA,NA,NA
"35","k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter.s__",0.0549871747751341,NA,NA,NA,0.0494516167327036,0.0498505131090145,0.0331478136225335,NA,NA,NA,NA,NA,NA,NA,0.0227850613351231,NA,NA,NA,NA
"36","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67698009489893,NA,NA
"37","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.632787331247763,NA,NA,1.18815713108021,NA,NA,NA,NA
"38","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__.s__",NA,0.0457367735767518,NA,NA,NA,NA,0.033662661831909,NA,NA,NA,NA,0.0263449456049532,NA,NA,NA,0.0259476327893958,NA,NA,NA
"39","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__Finegoldia.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0690222902150815,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__.s__",NA,NA,NA,0.0236649568099278,NA,NA,NA,NA,NA,NA,NA,0.0488183788682319,0.0451256667879398,NA,0.00600340488008173,NA,NA,NA,NA
"41","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__celatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225629625250457,0.198433176609733,NA,NA,NA,0.318779425544537,NA,NA
"42","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__paraputrificum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0993583785601477,NA,NA,0.112790383368424,NA,0.0907764689905732,NA,NA
