"","taxa","ATG","Busulfan","Cyclophosphamide","Fludarabine","Melphalan","VP16","Total.Body.Irradiation","Thiotepa","Methotrexate","Trimethoprim.sulfamethoxazole","Phenoxymethylpenicillin","Amoxicillin","Cefuroxime","Ceftazidime","Ciprofloxacin","Metronidazole","Meropenem","Vancomycin","Linezolid"
"1","k__Bacteria.__.__.__.__.__.__",NA,1.4024599339809,NA,NA,1.4024599339809,1.4024599339809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14282143740218
"2","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__",NA,NA,NA,NA,NA,NA,NA,0.23840822508922,NA,NA,0.155744210403009,NA,0.191976708765649,NA,NA,NA,NA,NA,NA
"3","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae.g__Corynebacterium.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0338126491476591,NA,NA,NA,NA,NA,NA
"4","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__dentocariosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0588813588498775,0.0123047443189133,NA,NA,NA,NA,NA,NA
"5","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__mucilaginosa",NA,NA,NA,NA,NA,NA,NA,0.0336242319974687,NA,NA,NA,NA,0.0271582838369552,0.0225660873180347,NA,NA,NA,NA,NA
"6","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.172511206431105,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__",0.891994989471842,NA,NA,NA,NA,NA,NA,0.524102174194785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__longum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416712984013347
"9","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Scardovia.s__",NA,0.00286306461347086,NA,0.00252097521891821,0.00286306461347086,0.00286306461347086,NA,0.00312851617073102,0.00283160554165541,NA,0.00200487148073875,0.455238054432619,NA,NA,NA,NA,NA,NA,NA
"10","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0310282124838589,NA,NA,NA,0.0120942093905279,NA
"11","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Atopobium.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0490850535262281,NA,NA,NA,NA,NA,NA,NA
"12","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__aerofaciens",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0500823805057175,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Barnesiellaceae..g__.s__",0.320711819572879,NA,0.13937890077449,0.195165104177887,NA,NA,0.104771154094045,0.225311708520626,NA,NA,NA,0.145634642958622,NA,NA,NA,NA,NA,NA,0.175173306313829
"14","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__",0.140821810074375,NA,NA,NA,NA,NA,NA,NA,NA,0.0317198609544925,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63164816517824,NA,2.07182895305797,NA,NA,NA,NA,NA,NA
"16","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__caccae",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.473401234174238,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__fragilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.35105414572008,NA,NA,NA,NA,NA,NA,NA
"18","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__ovatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.42690117154292,NA,NA,NA,NA,NA,NA
"19","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__uniformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46104094877689,0.830493919328125,1.05989776377756,NA,NA,NA,NA,0.534401946077252,0.42708472292282,NA
"20","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1220686473591,2.61724475503532,NA,NA,2.45907027942747
"21","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__distasonis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31355276852748,NA
