"","taxa","Busulfan","Cyclophosphamide","Fludarabine","VP16","Total.Body.Irradiation","Thiotepa","Methotrexate","Trimethoprim.sulfamethoxazole","Phenoxymethylpenicillin","Amoxicillin","Ceftazidime","Ceftriaxon","Ciprofloxacin","Meropenem","Piperacillin.tazobactam","Vancomycin","Tobramycin"
"1","k__Bacteria.__.__.__.__.__.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.548792102192521,NA,NA,0.419508824064471,NA,NA,NA,NA
"2","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41552916926415,0.0427242785597148,NA
"3","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__mucilaginosa",0.43985371855006,NA,0.40907108197149,-0.492530356085053,-0.489456722970051,0.154204978977805,NA,NA,0.203217459648256,-0.0875502076321518,NA,0.94481512863439,NA,NA,NA,NA,NA
"4","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__",NA,NA,NA,NA,NA,6.52991422876195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Scardovia.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0858786342441121,NA,NA,NA,NA,NA,NA,NA
"6","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Atopobium.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0150888372106013,NA,NA,NA,NA,NA,NA
"7","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.702709375140069,NA,NA,NA,NA,NA,NA,NA
"8","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__",NA,26.3541055642735,-11.0027872682556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__caccae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.538382396363414,NA,NA,-0.340165951547103,NA
"10","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__fragilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.05014352315048,NA
"11","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__ovatus",NA,NA,NA,NA,2.45234895645798,NA,NA,NA,NA,-2.45996380836368,NA,NA,NA,NA,NA,NA,NA
"12","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__uniformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.86752052219645,NA,1.44516719586442,NA,NA,-3.0196737260043,NA
"13","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__",NA,NA,NA,NA,NA,NA,NA,NA,-2.65701123589594,0.908697019415381,-1.37295870081594,NA,NA,NA,NA,-0.895574815071373,NA
"14","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__distasonis",NA,1.52589787660339,NA,NA,NA,-0.429793868989744,NA,NA,NA,0.808347976903059,-0.889445398767176,NA,NA,0.220101797839417,NA,-0.806438921390525,NA
"15","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__.s__",NA,0.57744089765483,NA,NA,NA,NA,NA,NA,NA,0.143456290284045,NA,NA,NA,NA,NA,NA,NA
"16","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__finegoldii",NA,20.0575411591779,-13.7730088667813,9.24909661458854,8.7478785654789,NA,12.2374692318741,NA,NA,NA,NA,NA,NA,NA,NA,2.77949740883964,45.0578198778765
"17","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__indistinctus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00537678163139461,NA,NA,NA,NA,NA,NA
"18","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__onderdonkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.3056458036164,NA,-1.42114648885505,-33.0036239946404
