"","taxa","Busulfan","Cyclophosphamide","Fludarabine","VP16","Total.Body.Irradiation","Thiotepa","Methotrexate","Trimethoprim.sulfamethoxazole","Phenoxymethylpenicillin","Amoxicillin","Ceftazidime","Ceftriaxon","Ciprofloxacin","Meropenem","Piperacillin.tazobactam","Vancomycin","Tobramycin"
"1","k__Bacteria.__.__.__.__.__.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.241247687413204,NA,NA,0.205782814790984,NA,NA,NA,NA
"2","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0611493035561478,0.0167238549838574,NA
"3","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__mucilaginosa",0.0411743396973809,NA,0.0406241973729095,0.0418765212618296,0.0429620613111094,0.0315874902715158,NA,NA,0.0411212186347976,0.0410828001323918,NA,0.0434055720068575,NA,NA,NA,NA,NA
"4","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__",NA,NA,NA,NA,NA,2.94188288441806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Scardovia.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299279442159714,NA,NA,NA,NA,NA,NA,NA
"6","k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Atopobium.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0074748842358283,NA,NA,NA,NA,NA,NA
"7","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.159977567114552,NA,NA,NA,NA,NA,NA,NA
"8","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__",NA,9.48094649795992,4.67198189510255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__caccae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.206357793805113,NA,NA,0.0922067280775854,NA
"10","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__fragilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79961834591692,NA
"11","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__ovatus",NA,NA,NA,NA,1.22496533270948,NA,NA,NA,NA,1.08424184659374,NA,NA,NA,NA,NA,NA,NA
"12","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__uniformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89991366119584,NA,0.441889328174869,NA,NA,0.845475942294323,NA
"13","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__",NA,NA,NA,NA,NA,NA,NA,NA,0.698679371234704,0.444169717772044,0.396735864846135,NA,NA,NA,NA,0.38302840242878,NA
"14","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__distasonis",NA,0.518830644029276,NA,NA,NA,0.15069161547487,NA,NA,NA,0.387204608050067,0.349437201838279,NA,NA,0.0978540947277092,NA,0.33378387249123,NA
"15","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__.s__",NA,0.218408409201686,NA,NA,NA,NA,NA,NA,NA,0.0311384646952329,NA,NA,NA,NA,NA,NA,NA
"16","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__finegoldii",NA,8.25604958813055,4.04680133408475,4.27955758850469,3.47611260906576,NA,4.57213123627085,NA,NA,NA,NA,NA,NA,NA,NA,0.71284185966098,8.11687226466607
"17","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__indistinctus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00244178335427495,NA,NA,NA,NA,NA,NA
"18","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__onderdonkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28260515278347,NA,0.611362632362653,7.7429916080546
"19","k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.832207063894132,NA,NA,NA
"20","k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.__",0.632371023692636,1.30681378869189,NA,NA,NA,NA,NA,0.229574068997792,NA,NA,1.05179525006585,NA,NA,NA,NA,NA,NA
"21","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.__.__.__",NA,NA,NA,NA,NA,6.88384752182796,NA,4.10647669159575,NA,3.06275850496562,2.69549497556093,NA,NA,NA,NA,2.56954426269621,NA
"22","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85390752706485,NA,NA,NA,NA,NA,NA,NA
"23","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__",NA,NA,NA,NA,NA,NA,NA,3.13878181610061,6.93683527363876,NA,1.80914145045544,NA,NA,NA,NA,1.793142137305,NA
"24","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49897204189032,NA
"25","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.959486701272426,NA,NA,NA,NA,NA,NA
"26","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__delbrueckii",NA,NA,NA,NA,NA,NA,NA,0.047778635851461,NA,NA,NA,0.0058255812141529,NA,NA,NA,0.0273114958014796,NA
"27","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__zeae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28380064280045,NA
"28","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus.s__",NA,NA,NA,NA,NA,4.22787936924283,NA,NA,NA,NA,NA,NA,NA,2.78740187637499,NA,NA,NA
"29","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__",NA,NA,NA,NA,NA,NA,NA,3.2998933125742,NA,NA,NA,2.84416871709679,NA,NA,NA,NA,NA
"30","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__infantis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0873576340138476,NA,NA,NA,NA
