Taxa,Antibiotic,Cephalosporins,Metronidazole,Carbapenem,Meropenem,Piperacillin.tazobactam,Vancomycin,Amphotericin.B,nodeColor
B. caccae,NA,NA,NA,NA,NA,1.48213351,NA,NA,Bacteroidetes
B. ovatus,NA,NA,NA,1.843989353,NA,2.054058772,NA,NA,Bacteroidetes
B. uniformis,NA,NA,NA,0.776325058,NA,NA,NA,NA,Bacteroidetes
P. copri,1.851817129,NA,NA,NA,NA,NA,NA,NA,Bacteroidetes
A. onderdonkii,NA,1.014488564,NA,NA,NA,NA,NA,NA,Bacteroidetes
R. torques,NA,0.263426705,1.044841418,NA,0.986987195,NA,0.986987195,NA,Firmicutes
C. citroniae,0.304985472,NA,NA,NA,NA,NA,NA,NA,Firmicutes
C. lavalense,NA,0.058893755,NA,NA,NA,NA,NA,NA,Firmicutes
D. formicigenerans,NA,0.052203677,NA,0.054195706,NA,NA,NA,NA,Firmicutes
R. faecis,NA,NA,NA,0.326570268,NA,NA,NA,NA,Firmicutes
R. bromii,NA,NA,0.826969828,NA,NA,NA,NA,NA,Firmicutes
V. dispar,NA,NA,NA,0.0329942,NA,NA,NA,0.002219374,Firmicutes
V. parvula,NA,NA,NA,0.006688446,NA,NA,NA,NA,Firmicutes
C. spiroforme,NA,0.083137186,NA,NA,NA,NA,NA,NA,Firmicutes
R. mucilaginosa,NA,NA,0.024850689,NA,0.771827828,NA,0.771827828,0.688757004,Actinobacteria
B. longum,NA,NA,NA,NA,NA,0.006522732,NA,NA,Actinobacteria
E. lenta,NA,NA,NA,NA,NA,0.011964602,NA,NA,Actinobacteria
H. parainfluenzae,NA,NA,NA,0.015844032,NA,NA,NA,NA,Proteobacteria
