Taxa,ATG,Busulfan,Cyclophosphamide,Fludarabine,Melphalan,VP16,Total.Body.Irradiation,Thiotepa,Methotrexate,Antibiotic,Trimethoprim.sulfamethoxazole,Phenoxymethylpenicillin,Amoxicillin,Cefuroxime,Ceftazidime,Ciprofloxacin,Metronidazole,Meropenem,Vancomycin,Linezolid,nodeColor
B. caccae,NA,1.611929842,NA,NA,NA,NA,NA,NA,NA,NA,1.003954978,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteroidetes
B. fragilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.63160446,NA,NA,NA,NA,NA,NA,NA,Bacteroidetes
B. ovatus,NA,NA,NA,NA,NA,NA,NA,-4.710404518,NA,NA,NA,NA,NA,16.60773122,NA,NA,NA,NA,NA,NA,Bacteroidetes
B. uniformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.537821869,1.639630862,2.32837407,NA,NA,NA,NA,NA,NA,NA,Bacteroidetes
A. onderdonkii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.980793183,NA,NA,NA,NA,NA,NA,NA,NA,Bacteroidetes
L. delbrueckii,NA,NA,0.41785243,0.499742502,NA,-0.671751582,-0.713386468,NA,1.192884439,0.202463705,NA,NA,NA,NA,NA,NA,NA,NA,0.209442449,NA,Firmicutes
L. salivarius,NA,NA,-1.629840216,NA,NA,NA,NA,NA,NA,NA,2.756150049,NA,NA,NA,NA,NA,NA,NA,-0.98197209,NA,Firmicutes
L. zeae,NA,NA,-10.50126261,NA,-19.2168903,NA,NA,14.7574223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
S. infantis,NA,-0.659909545,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.225854878,1.288836488,NA,NA,NA,NA,NA,NA,NA,Firmicutes
C. celatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.604362826,NA,1.904150386,NA,NA,NA,NA,NA,Firmicutes
C. paraputrificum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.278819755,NA,NA,NA,-0.121242427,NA,NA,NA,NA,Firmicutes
R. torques,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.263676286,0.230432601,NA,NA,NA,NA,NA,NA,0.248556625,Firmicutes
B. producta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.353219904,NA,NA,NA,NA,-3.65201036,NA,NA,NA,NA,Firmicutes
C. citroniae,NA,NA,NA,NA,NA,NA,NA,-0.004962285,NA,NA,NA,-0.005454263,NA,-0.007515803,NA,NA,NA,NA,NA,NA,Firmicutes
C. hathewayi,NA,NA,NA,-1.278037593,NA,-2.117888984,NA,NA,NA,-0.750038655,-1.131894872,NA,-2.569208538,NA,3.337370484,NA,NA,NA,NA,NA,Firmicutes
C. lavalense,NA,NA,NA,NA,NA,NA,NA,-0.014889412,NA,NA,NA,NA,NA,0.02663611,0.022685045,NA,NA,NA,NA,-0.020314146,Firmicutes
C. symbiosum,NA,-0.226370531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.118206643,NA,NA,NA,-0.333436028,Firmicutes
D. longicatena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177671461,NA,NA,NA,NA,-0.046751371,-0.054815141,NA,Firmicutes
