Taxa,ATG,Busulfan,Cyclophosphamide,Fludarabine,Melphalan,VP16,Total.Body.Irradiation,Thiotepa,Methotrexate,Antibiotic,Trimethoprim.sulfamethoxazole,Phenoxymethylpenicillin,Amoxicillin,Cefuroxime,Ceftazidime,Ciprofloxacin,Metronidazole,Meropenem,Vancomycin,Linezolid,nodeColor
B. caccae,NA,0.577698083,NA,NA,NA,NA,NA,NA,NA,NA,0.463329062,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteroidetes
B. fragilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.426436234,NA,NA,NA,NA,NA,NA,NA,Bacteroidetes
B. ovatus,NA,NA,NA,NA,NA,NA,NA,1.914639722,NA,NA,NA,NA,NA,3.443603009,NA,NA,NA,NA,NA,NA,Bacteroidetes
B. uniformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.450921017,0.82605692,1.080290346,NA,NA,NA,NA,NA,NA,NA,Bacteroidetes
A. onderdonkii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.282055191,NA,NA,NA,NA,NA,NA,NA,NA,Bacteroidetes
L. delbrueckii,NA,NA,0.122412311,0.151055381,NA,0.293354014,0.162173322,NA,0.506293135,0.076919576,NA,NA,NA,NA,NA,NA,NA,NA,0.067373494,NA,Firmicutes
L. salivarius,NA,NA,0.80781618,NA,NA,NA,NA,NA,NA,NA,0.728225704,NA,NA,NA,NA,NA,NA,NA,0.436503866,NA,Firmicutes
L. zeae,NA,NA,4.504975971,NA,7.305772667,NA,NA,5.330573466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
S. infantis,NA,0.234239767,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.095771366,0.54590916,NA,NA,NA,NA,NA,NA,NA,Firmicutes
C. celatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254654413,NA,0.246959224,NA,NA,NA,NA,NA,Firmicutes
C. paraputrificum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113275274,NA,NA,NA,0.056698055,NA,NA,NA,NA,Firmicutes
R. torques,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107502076,0.101045668,NA,NA,NA,NA,NA,NA,0.124123452,Firmicutes
B. producta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.802007632,NA,NA,NA,NA,1.642592717,NA,NA,NA,NA,Firmicutes
C. citroniae,NA,NA,NA,NA,NA,NA,NA,0.00148651,NA,NA,NA,0.00225212,NA,0.002877796,NA,NA,NA,NA,NA,NA,Firmicutes
C. hathewayi,NA,NA,NA,0.563448079,NA,1.069705294,NA,NA,NA,0.289095949,0.421809647,NA,0.710683231,NA,0.761269529,NA,NA,NA,NA,NA,Firmicutes
C. lavalense,NA,NA,NA,NA,NA,NA,NA,0.00541287,NA,NA,NA,NA,NA,0.010447553,0.00818117,NA,NA,NA,NA,0.009403899,Firmicutes
C. symbiosum,NA,0.101570408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047099536,NA,NA,NA,0.107233536,Firmicutes
D. longicatena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.073524135,NA,NA,NA,NA,0.02150251,0.026067727,NA,Firmicutes
R. faecis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.888975915,NA,NA,NA,0.451183228,NA,NA,0.305023697,NA,Firmicutes
B. pullicaecorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033160278,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
C. methylpentosum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003591934,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
F. prausnitzii,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.714459071,NA,NA,NA,NA,NA,0.906556398,NA,NA,0.624406008,2.093791182,Firmicutes
G. formicilis,1.198155885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.485341608,NA,NA,NA,0.248457053,NA,NA,0.167409317,NA,Firmicutes
R. bromii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.636751493,NA,NA,0.334114666,NA,NA,0.222951093,NA,Firmicutes
V. dispar,NA,NA,0.846343035,NA,NA,NA,NA,0.975320843,NA,NA,NA,1.41683963,NA,1.79546122,NA,NA,NA,NA,NA,NA,Firmicutes
V. parvula,NA,NA,NA,NA,NA,NA,NA,NA,0.897734829,0.261568176,0.206960753,NA,NA,NA,NA,0.182106496,NA,0.146265754,NA,NA,Firmicutes
E. dolichum,NA,3.131081216,2.79841518,3.412836978,4.556458088,6.927245296,3.748191087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
C. spiroforme,NA,NA,NA,NA,NA,1.741919474,NA,NA,NA,0.451772716,NA,NA,NA,NA,NA,NA,NA,0.503038456,0.405624867,NA,Firmicutes
R. dentocariosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.060022435,0.012359565,NA,NA,NA,NA,NA,NA,Actinobacteria
R. mucilaginosa,NA,NA,NA,NA,NA,NA,NA,0.014491209,NA,NA,NA,NA,0.0207397,0.02715739,NA,NA,NA,NA,NA,NA,Actinobacteria
B. longum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.414272143,Actinobacteria
C. aerofaciens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049040188,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actinobacteria
