Taxa,Busulfan,Cyclophosphamide,Fludarabine,Melphalan,VP16,Total.Body.Irradiation,Thiotepa,Methotrexate,Antibiotic,Trimethoprim.sulfamethoxazole,Phenoxymethylpenicillin,Amoxicillin,Ceftazidime,Ceftriaxon,Ciprofloxacin,Meropenem,Piperacillin.tazobactam,Vancomycin,Tobramycin,nodeColor
B. caccae,NA,0.614902136,NA,2.185139707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.532146264,NA,NA,-0.295366825,NA,Bacteroidetes
B. fragilis,NA,1.526598189,-0.934470331,3.900955466,NA,1.083016982,-1.084974773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.117811364,NA,Bacteroidetes
B. ovatus,NA,2.639927543,-1.815283667,5.158472149,NA,2.996383509,-2.001913043,NA,NA,NA,NA,-2.533436185,NA,NA,NA,NA,NA,NA,NA,Bacteroidetes
B. uniformis,NA,2.191141411,-1.328032181,5.905293943,NA,NA,-1.284654605,NA,NA,NA,NA,NA,-1.790900879,NA,1.400476089,NA,NA,-2.698941412,NA,Bacteroidetes
P. distasonis,NA,0.518604125,-0.366286731,NA,NA,0.352741889,-0.485087489,NA,NA,NA,NA,0.798386954,-0.842131991,NA,NA,0.184883776,NA,-0.716626436,NA,Bacteroidetes
A. finegoldii,NA,NA,-3.495882551,NA,9.171130726,NA,NA,12.64302426,2.517571344,NA,NA,NA,NA,NA,NA,NA,NA,2.952418059,43.27802138,Bacteroidetes
A. indistinctus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.005041757,NA,NA,NA,NA,NA,NA,Bacteroidetes
A. onderdonkii,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.390679538,NA,NA,NA,NA,NA,NA,NA,NA,-31.05645701,Bacteroidetes
A. putredinis,NA,0.347903978,-0.201830041,NA,NA,0.329373029,-0.304068796,NA,-0.281073958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteroidetes
E. casseliflavus,NA,-18.80378005,25.48434894,-48.0657383,NA,-26.19949407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
L. delbrueckii,NA,NA,-0.128121782,NA,NA,NA,0.125202154,NA,0.160951736,0.154349449,NA,NA,NA,0.163015679,NA,NA,NA,-0.053137915,NA,Firmicutes
L. zeae,NA,NA,NA,29.35335719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.153389257,NA,Firmicutes
S. infantis,0.320800232,0.392864378,NA,1.355531399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.22414857,NA,NA,NA,NA,Firmicutes
C. celatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.450800533,-0.467899637,NA,NA,NA,3.197398705,NA,NA,Firmicutes
C. paraputrificum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.212295745,NA,NA,0.309083082,NA,4.780440716,NA,NA,Firmicutes
R. gnavus,NA,NA,NA,NA,NA,NA,-4.736305377,NA,NA,3.651118447,NA,NA,2.374783355,NA,NA,-4.104925354,NA,-1.947728651,NA,Firmicutes
R. torques,NA,NA,NA,NA,NA,NA,-0.574844757,NA,-0.60810915,NA,NA,NA,NA,NA,NA,-0.322499925,NA,NA,NA,Firmicutes
B. obeum,NA,NA,NA,NA,NA,NA,-0.889779241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
B. producta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.388978954,NA,NA,NA,NA,NA,NA,Firmicutes
C. aldenense,NA,NA,NA,NA,NA,NA,NA,-0.148933377,NA,NA,NA,NA,-0.144474996,NA,NA,NA,NA,-0.147200425,NA,Firmicutes
C. citroniae,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.014990169,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
C. clostridioforme,NA,NA,NA,NA,NA,NA,-0.505980691,NA,NA,NA,NA,NA,0.326692147,NA,NA,NA,NA,NA,NA,Firmicutes
C. hathewayi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.822445,NA,NA,NA,NA,Firmicutes
C. lavalense,NA,0.029818368,NA,0.073963252,NA,NA,-0.016287052,NA,NA,NA,NA,0.079333432,0.034994285,NA,0.021283257,NA,NA,NA,NA,Firmicutes
C. symbiosum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.207956319,NA,Firmicutes
R. faecis,NA,NA,NA,NA,NA,NA,NA,NA,-3.078531611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
C. bartlettii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.931062485,NA,NA,NA,NA,NA,NA,NA,Firmicutes
B. pullicaecorum,NA,NA,NA,NA,NA,NA,NA,2.453334577,NA,NA,NA,NA,0.597039648,NA,0.892565876,NA,NA,0.399250744,NA,Firmicutes
C. methylpentosum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107922502,0.037398293,NA,NA,NA,NA,NA,NA,Firmicutes
F. prausnitzii,NA,NA,NA,NA,NA,NA,NA,NA,-1.546389756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
R. bromii,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.811433138,NA,-1.385139096,NA,NA,NA,NA,NA,NA,NA,Firmicutes
S. variabile,NA,NA,5.247244351,NA,NA,-8.455665403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
V. parvula,2.400543179,NA,NA,NA,-4.010474387,-1.719615004,0.967748098,NA,NA,NA,NA,NA,NA,NA,NA,-0.652751462,NA,NA,NA,Firmicutes
E. dolichum,NA,NA,NA,NA,NA,NA,NA,NA,4.746323088,NA,NA,NA,NA,34.70869405,NA,NA,NA,NA,NA,Firmicutes
C. spiroforme,NA,NA,1.105701603,NA,NA,-1.530639502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
R. mucilaginosa,0.327778636,NA,0.052214089,NA,-0.492952343,-0.234426221,0.079814939,NA,NA,NA,0.203381016,-0.084163641,NA,0.943957619,NA,NA,NA,NA,NA,Actinobacteria
E. lenta,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.296755266,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actinobacteria
A. muciniphila,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.933006671,NA,NA,NA,NA,NA,NA,NA,Verrucomicrobia
