Taxa,Busulfan,Cyclophosphamide,Fludarabine,Melphalan,VP16,Total.Body.Irradiation,Thiotepa,Methotrexate,Antibiotic,Trimethoprim.sulfamethoxazole,Phenoxymethylpenicillin,Amoxicillin,Ceftazidime,Ceftriaxon,Ciprofloxacin,Meropenem,Piperacillin.tazobactam,Vancomycin,Tobramycin,nodeColor
B. caccae,NA,0.286409062,NA,0.807778511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.204707227,NA,NA,0.086547394,NA,Bacteroidetes
B. fragilis,NA,0.36743873,0.202097038,1.055467809,NA,0.433597526,0.271473292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.689998992,NA,Bacteroidetes
B. ovatus,NA,0.812726564,0.44893568,2.350472977,NA,0.776288198,0.597089496,NA,NA,NA,NA,1.078491723,NA,NA,NA,NA,NA,NA,NA,Bacteroidetes
B. uniformis,NA,0.627828562,0.463838529,1.791972062,NA,NA,0.468526242,NA,NA,NA,NA,NA,0.870782333,NA,0.440354416,NA,NA,0.792464683,NA,Bacteroidetes
P. distasonis,NA,0.14685503,0.108363238,NA,NA,0.172164957,0.105503277,NA,NA,NA,NA,0.384828394,0.338241664,NA,NA,0.082489278,NA,0.312512468,NA,Bacteroidetes
A. finegoldii,NA,NA,1.636687398,NA,4.280940624,NA,NA,4.519688131,1.177127301,NA,NA,NA,NA,NA,NA,NA,NA,0.667274781,7.95724353,Bacteroidetes
A. indistinctus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002363588,NA,NA,NA,NA,NA,NA,Bacteroidetes
A. onderdonkii,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.155874511,NA,NA,NA,NA,NA,NA,NA,NA,7.618634008,Bacteroidetes
A. putredinis,NA,0.128132429,0.077241262,NA,NA,0.142712643,0.093436069,NA,0.076369163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteroidetes
E. casseliflavus,NA,7.200642726,5.007592372,20.55683018,NA,8.147293842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
L. delbrueckii,NA,NA,0.061299307,NA,NA,NA,0.06152017,NA,0.044909066,0.045988321,NA,NA,NA,0.005772708,NA,NA,NA,0.026574613,NA,Firmicutes
L. zeae,NA,NA,NA,11.32757303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.202481888,NA,Firmicutes
S. infantis,0.158069317,0.122207085,NA,0.342164806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.086738401,NA,NA,NA,NA,Firmicutes
C. celatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225629625,0.198433177,NA,NA,NA,0.318779426,NA,NA,Firmicutes
C. paraputrificum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.099358379,NA,NA,0.112790383,NA,0.090776469,NA,NA,Firmicutes
R. gnavus,NA,NA,NA,NA,NA,NA,2.033493769,NA,NA,1.627435244,NA,NA,0.902870733,NA,NA,1.523259565,NA,0.835009404,NA,Firmicutes
R. torques,NA,NA,NA,NA,NA,NA,0.191407719,NA,0.132181621,NA,NA,NA,NA,NA,NA,0.151112026,NA,NA,NA,Firmicutes
B. obeum,NA,NA,NA,NA,NA,NA,0.349393357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
B. producta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.955086187,NA,NA,NA,NA,NA,NA,Firmicutes
C. aldenense,NA,NA,NA,NA,NA,NA,NA,0.073679459,NA,NA,NA,NA,0.048207684,NA,NA,NA,NA,0.044298897,NA,Firmicutes
C. citroniae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006100926,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
