Taxa,ATG,Busulfan,Cyclophosphamide,Fludarabine,Melphalan,VP16,Total.Body.Irradiation,Thiotepa,Methotrexate,Trimethoprim.sulfamethoxazole,Phenoxymethylpenicillin,Amoxicillin,Cefuroxime,Ceftazidime,Ciprofloxacin,Metronidazole,Meropenem,Vancomycin,Linezolid,nodeColor
B. caccae,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.041841407,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteroidetes
B. fragilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.94428478,NA,NA,NA,NA,NA,NA,NA,Bacteroidetes
B. ovatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.65685895,NA,NA,NA,NA,NA,NA,Bacteroidetes
B. uniformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.571278623,1.699595631,2.438687263,NA,NA,NA,NA,-1.319366223,-0.999512319,NA,Bacteroidetes
P. distasonis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.674598119,NA,Bacteroidetes
A. onderdonkii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.005357939,NA,NA,NA,NA,NA,NA,NA,NA,Bacteroidetes
A. putredinis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.393929691,NA,NA,Bacteroidetes
L. delbrueckii,NA,0.649643815,0.684725493,1.054417513,0.649643815,-0.649643815,-0.91715464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.223424663,NA,Firmicutes
L. salivarius,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.935102679,NA,NA,NA,NA,NA,NA,NA,-1.175053135,NA,Firmicutes
S. infantis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.226411821,1.33521215,NA,NA,NA,NA,NA,NA,NA,Firmicutes
C. celatum,NA,NA,NA,-0.774115234,NA,NA,NA,NA,1.101652755,NA,NA,NA,NA,1.998176766,NA,NA,NA,NA,NA,Firmicutes
C. paraputrificum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.290636754,NA,NA,NA,-0.143673278,NA,NA,-0.083488559,NA,Firmicutes
R. torques,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.259853917,0.219822853,NA,NA,NA,NA,NA,NA,NA,Firmicutes
B. producta,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.054043005,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
C. citroniae,NA,NA,NA,NA,NA,NA,NA,-0.008850015,NA,NA,-0.005566174,NA,-0.007264379,NA,0.002368042,NA,NA,NA,NA,Firmicutes
C. hathewayi,NA,2.304661902,NA,-2.309145808,2.304661902,-2.304661902,NA,2.947796043,4.219173274,-0.929689787,NA,-2.064912348,NA,3.465354649,NA,NA,NA,NA,NA,Firmicutes
C. lavalense,NA,NA,NA,NA,NA,NA,NA,-0.033025098,NA,NA,0.016864839,NA,0.027816201,0.024643468,NA,NA,NA,NA,-0.01997708,Firmicutes
C. symbiosum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.111786231,NA,NA,NA,-0.32365196,Firmicutes
D. longicatena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17669137,NA,NA,NA,NA,NA,NA,NA,Firmicutes
R. faecis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.056202508,NA,NA,NA,-1.096748244,NA,NA,-1.057316314,NA,Firmicutes
B. pullicaecorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072498859,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
C. methylpentosum,NA,NA,NA,NA,NA,NA,NA,NA,0.02518174,0.012274552,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
F. prausnitzii,NA,NA,NA,NA,NA,NA,NA,NA,6.033976018,NA,NA,NA,NA,NA,-2.089984803,NA,NA,-1.719573655,-4.960783078,Firmicutes
G. formicilis,5.726519507,NA,-1.147264226,NA,NA,NA,NA,NA,NA,NA,1.877595242,0.998675995,NA,NA,-0.625537391,NA,NA,-0.586208457,NA,Firmicutes
R. bromii,NA,NA,NA,NA,NA,NA,NA,NA,2.621414939,NA,NA,NA,NA,NA,NA,NA,-0.936111698,-0.867505682,NA,Firmicutes
V. dispar,-7.155057859,NA,NA,NA,NA,NA,NA,-7.292785482,NA,NA,-3.27984504,NA,-5.111865926,NA,NA,NA,NA,NA,NA,Firmicutes
V. parvula,NA,NA,NA,0.939511034,NA,NA,NA,NA,-1.63777798,NA,NA,NA,NA,NA,-0.420146493,NA,NA,NA,NA,Firmicutes
E. dolichum,NA,-15.81104112,-9.148296144,NA,-15.81104112,15.81104112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
C. spiroforme,NA,-3.663888586,NA,NA,-3.663888586,3.663888586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
R. dentocariosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.339423399,0.067039305,NA,NA,NA,NA,NA,NA,Actinobacteria
R. mucilaginosa,NA,NA,NA,NA,NA,NA,NA,-0.071078031,NA,NA,NA,NA,0.10234829,0.044993849,NA,NA,NA,NA,NA,Actinobacteria
B. longum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.091483177,Actinobacteria
C. aerofaciens,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116940335,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actinobacteria
A. muciniphila,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.574398882,NA,NA,NA,NA,NA,NA,NA,NA,Verrucomicrobia
