Taxa,Busulfan,Cyclophosphamide,Fludarabine,VP16,Total.Body.Irradiation,Thiotepa,Methotrexate,Trimethoprim.sulfamethoxazole,Phenoxymethylpenicillin,Amoxicillin,Ceftazidime,Ceftriaxon,Ciprofloxacin,Meropenem,Piperacillin.tazobactam,Vancomycin,Tobramycin,nodeColor
B. caccae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.538382396,NA,NA,-0.340165952,NA,Bacteroidetes
B. fragilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.050143523,NA,Bacteroidetes
B. ovatus,NA,NA,NA,NA,2.452348956,NA,NA,NA,NA,-2.459963808,NA,NA,NA,NA,NA,NA,NA,Bacteroidetes
B. uniformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.867520522,NA,1.445167196,NA,NA,-3.019673726,NA,Bacteroidetes
P. distasonis,NA,1.525897877,NA,NA,NA,-0.429793869,NA,NA,NA,0.808347977,-0.889445399,NA,NA,0.220101798,NA,-0.806438921,NA,Bacteroidetes
A. finegoldii,NA,20.05754116,-13.77300887,9.249096615,8.747878565,NA,12.23746923,NA,NA,NA,NA,NA,NA,NA,NA,2.779497409,45.05781988,Bacteroidetes
A. indistinctus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.005376782,NA,NA,NA,NA,NA,NA,Bacteroidetes
A. onderdonkii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.305645804,NA,-1.421146489,-33.00362399,Bacteroidetes
L. delbrueckii,NA,NA,NA,NA,NA,NA,NA,0.123936197,NA,NA,NA,0.163192836,NA,NA,NA,-0.097822041,NA,Firmicutes
L. zeae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55779327,NA,Firmicutes
S. infantis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.228757345,NA,NA,NA,NA,Firmicutes
C. celatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.478582022,NA,NA,NA,3.201080289,NA,NA,Firmicutes
C. paraputrificum,NA,1.281041335,-0.642270927,NA,NA,NA,NA,NA,NA,-0.222407621,NA,NA,0.310374898,NA,4.78028393,NA,NA,Firmicutes
R. gnavus,NA,NA,NA,NA,NA,NA,NA,4.179670014,NA,NA,2.644862848,NA,NA,-5.474097186,NA,-2.05478864,NA,Firmicutes
R. torques,NA,NA,NA,NA,NA,-0.751585705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
B. obeum,NA,NA,NA,NA,NA,-1.485107329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
B. producta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55582564,NA,NA,-4.326892701,NA,NA,NA,Firmicutes
C. aldenense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.150818665,NA,NA,NA,NA,-0.163497025,NA,Firmicutes
C. citroniae,-0.038718319,-0.075682699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
C. clostridioforme,NA,NA,NA,NA,NA,-0.781391093,NA,NA,NA,NA,0.317677622,NA,NA,NA,NA,NA,NA,Firmicutes
C. hathewayi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.881750484,NA,NA,NA,NA,Firmicutes
C. lavalense,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07871331,0.034017135,NA,0.021828815,NA,NA,NA,NA,Firmicutes
C. symbiosum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.22201406,NA,Firmicutes
C. bartlettii,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.983576558,NA,NA,NA,NA,NA,NA,NA,Firmicutes
B. pullicaecorum,NA,NA,NA,NA,NA,NA,2.49584701,NA,NA,NA,0.606633096,NA,0.899549889,NA,NA,0.414251147,NA,Firmicutes
C. methylpentosum,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.106360076,0.033655431,NA,NA,NA,NA,NA,NA,Firmicutes
G. formicilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.543054975,NA,NA,NA,Firmicutes
R. bromii,NA,NA,NA,NA,NA,NA,NA,0.73464866,NA,-1.433008507,NA,NA,NA,-0.873095073,NA,NA,NA,Firmicutes
V. parvula,3.57102484,NA,3.479994197,-4.035448485,-4.064606414,1.446050858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
E. dolichum,NA,NA,18.39805859,NA,NA,NA,NA,NA,NA,NA,NA,33.79209828,NA,NA,NA,NA,NA,Firmicutes
R. mucilaginosa,0.439853719,NA,0.409071082,-0.492530356,-0.489456723,0.154204979,NA,NA,0.20321746,-0.087550208,NA,0.944815129,NA,NA,NA,NA,NA,Actinobacteria
A. muciniphila,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.986430068,NA,NA,NA,NA,NA,NA,NA,Verrucomicrobia
