Taxa_sk,Busulfan,Cyclophosphamide,Fludarabine,VP16,Total.Body.Irradiation,Thiotepa,Methotrexate,Trimethoprim.sulfamethoxazole,Phenoxymethylpenicillin,Amoxicillin,Ceftazidime,Ceftriaxon,Ciprofloxacin,Meropenem,Piperacillin.tazobactam,Vancomycin,Tobramycin,nodeColor
R. mucilaginosa,0.04117434,NA,0.040624197,0.041876521,0.042962061,0.03158749,NA,NA,0.041121219,0.0410828,NA,0.043405572,NA,NA,NA,NA,NA,Actinobacteria
B. caccae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.206357794,NA,NA,0.092206728,NA,Bacteroidetes
B. fragilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.799618346,NA,Bacteroidetes
B. ovatus,NA,NA,NA,NA,1.224965333,NA,NA,NA,NA,1.084241847,NA,NA,NA,NA,NA,NA,NA,Bacteroidetes
B. uniformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.899913661,NA,0.441889328,NA,NA,0.845475942,NA,Bacteroidetes
P. distasonis,NA,0.518830644,NA,NA,NA,0.150691615,NA,NA,NA,0.387204608,0.349437202,NA,NA,0.097854095,NA,0.333783872,NA,Bacteroidetes
A. finegoldii,NA,8.256049588,4.046801334,4.279557589,3.476112609,NA,4.572131236,NA,NA,NA,NA,NA,NA,NA,NA,0.71284186,8.116872265,Bacteroidetes
A. indistinctus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002441783,NA,NA,NA,NA,NA,NA,Bacteroidetes
A. onderdonkii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.282605153,NA,0.611362632,7.742991608,Bacteroidetes
L. delbrueckii,NA,NA,NA,NA,NA,NA,NA,0.047778636,NA,NA,NA,0.005825581,NA,NA,NA,0.027311496,NA,Firmicutes
L. zeae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.283800643,NA,Firmicutes
S. infantis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.087357634,NA,NA,NA,NA,Firmicutes
C. celatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20510045,NA,NA,NA,0.316828918,NA,NA,Firmicutes
C. paraputrificum,NA,0.568204868,0.281756292,NA,NA,NA,NA,NA,NA,0.099767408,NA,NA,0.113743609,NA,0.091138673,NA,NA,Firmicutes
R. gnavus,NA,NA,NA,NA,NA,NA,NA,1.713085891,NA,NA,0.93085778,NA,NA,1.795152469,NA,0.892641086,NA,Firmicutes
R. torques,NA,NA,NA,NA,NA,0.262786237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
B. obeum,NA,NA,NA,NA,NA,0.499808729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
B. producta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.986384706,NA,NA,2.037553094,NA,NA,NA,Firmicutes
C. aldenense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049806578,NA,NA,NA,NA,0.047280435,NA,Firmicutes
C. citroniae,0.017169951,0.035654227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
C. clostridioforme,NA,NA,NA,NA,NA,0.273059431,NA,NA,NA,NA,0.139805848,NA,NA,NA,NA,NA,NA,Firmicutes
C. hathewayi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.862359841,NA,NA,NA,NA,Firmicutes
C. lavalense,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015404054,0.014475429,NA,0.007814548,NA,NA,NA,NA,Firmicutes
C. symbiosum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.089120775,NA,Firmicutes
C. bartlettii,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.593720932,NA,NA,NA,NA,NA,NA,NA,Firmicutes
B. pullicaecorum,NA,NA,NA,NA,NA,NA,1.240694372,NA,NA,NA,0.206702594,NA,0.45056947,NA,NA,0.198761713,NA,Firmicutes
C. methylpentosum,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015569434,0.015153341,NA,NA,NA,NA,NA,NA,Firmicutes
G. formicilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.273838384,NA,NA,NA,Firmicutes
R. bromii,NA,NA,NA,NA,NA,NA,NA,0.295737046,NA,0.533574807,NA,NA,NA,0.311962052,NA,NA,NA,Firmicutes
V. parvula,0.878527802,NA,0.927318277,0.93101692,0.937929673,0.547159698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
E. dolichum,NA,NA,7.659465904,NA,NA,NA,NA,NA,NA,NA,NA,9.174934721,NA,NA,NA,NA,NA,Firmicutes
A. muciniphila,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.402324037,NA,NA,NA,NA,NA,NA,NA,Verrucomicrobia
